 CCP NNC
DTC CBD_CCP UNK
CCP VBTF UNK
NNC LM UNK
NNP LM UNK
UNK CCB NNC
UNK RBR NNC
CBD_CCP UNK CCB
LM UNK JJC
NNC_CCP UNK CCB
CCP NNC RBB
NNC CCP RBF
NNC PMP UNK
UNK CCB DTCP
VBTF UNK NNC
NNC CCP RBD
VBTS JJD 
LM UNK RBR
DTC PRSP_CCP JJD
PMC DTC NNC
PRP LM UNK
UNK JJC NNC
CCP RBF VBTS
UNK DTC DTCP
CCP VBTS RBW_CCP
PRSP_CCP JJD CCP
CCP NNC LM
UNK VBTS JJD
CCP VBTS DTP
LM UNK CCB
NNC PRP CCP
PRP CCP VBAF
CCP RBD LM
UNK NNC DTC
LM VBTS JJD
PMP UNK VBTS
DTC NNC_CCP UNK
CCT NNC PRP
JJD  CCP
CCP VBAF CCT
